name	description	cloneof	year	players	ctrltype	manufacturer	category	orientation	ctrltype2	joyways	buttons
sfiiin	Street Fighter 3 III 1st: New Generation	sfiii	1997	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfposeid	Poseidon		1984	2	8 way	Taito	arcade	horizontal	joy	8	2
sfrush	San Francisco Rush		1996	1	analog	Atari	arcade	horizontal	paddle+pedal		13
sftm	Street Fighter 4 The Movie		1995	2	8 way	Capcom	arcade	horizontal	joy	8	6
sgemf	Super Gem Fighter Mini Mix		1997	2	8 way	Capcom	arcade	horizontal	joy	8	3
sgunner	Steel Gunner		1990	2	lightgun	Namco	arcade	horizontal	lightgun		2
sgunner2	Steel Gunner 2		1991	2	lightgun	Namco	arcade	horizontal	lightgun		2
shadfrce	Shadow Force		1993	2	8 way	Technos	arcade	horizontal	joy	8	6
shadowld	Shadowland		1987	2	8 way	Namco	arcade	horizontal	joy	8	3
shangon	Super Hang-On (sitdown/upright)		1987	1	analog	SEGA	arcade	horizontal	paddle+pedal		1
sharrier	Space Harrier		1985	1	analog	SEGA	arcade	horizontal	stick		3
shdancer	Shadow Dancer		1989	2	8 way	SEGA	arcade	horizontal	joy	8	3
shienryu	Shienryu		1997	4	8 way	Warashi	arcade	vertical	joy	8	4
shinobi	Shinobi (set 6, System 16A)		1987	2	8 way	SEGA	arcade	horizontal	joy	8	3
Shinobi III	Shinobi III		1993	1	8 way	SEGA	console	horizontal			
shocktr2	Shock Troopers 2 : 2nd Squad		1998	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
shocktro	Shock Troopers 1		1997	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
shollow	Satan's Hollow		1981	2	4 way	Midway	arcade	vertical	joy	2	2
sidearms	Side Arms: Hyper Dyne		1986	2	8 way	Capcom	arcade	horizontal	joy	8	3
sidepckt	Side Pocket		1986	2	8 way	Data East	arcade	horizontal	joy	8	2
silentd	Silent Dragon		1992	4	8 way	Taito	arcade	horizontal	joy	8	3
silkworm	Silk Worm		1988	2	8 way	Tecmo	arcade	horizontal	joy	8	3
simpsons	Simpsons, The		1991	4	8 way	Konami	arcade	horizontal	joy	8	2
simpsons2p	Simpsons, The	simpsons	1991	2	8 way	Konami	arcade	horizontal	joy	8	2
sinistar	Sinistar		1982	1	analog	Williams	arcade	vertical	stick		2
